id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
201,2023-11-04 11:45:00.924412,6.0,2.7,5.1,1.6,1
200,2023-11-04 11:44:59.920144,4.9,2.5,4.5,1.7,2
199,2023-11-04 11:44:58.916384,5.1,3.8,1.5,0.3,0
198,2023-11-04 11:44:57.912477,4.5,2.3,1.3,0.3,0
197,2023-11-04 11:44:56.908526,4.5,2.3,1.3,0.3,0
196,2023-11-04 11:44:55.904827,5.0,3.4,1.6,0.4,0
195,2023-11-04 11:44:54.901061,5.4,3.4,1.7,0.2,0
194,2023-11-04 11:44:53.896912,6.3,2.3,4.4,1.3,1
193,2023-11-04 11:44:52.892698,4.3,3.0,1.1,0.1,0
192,2023-11-04 11:44:51.888690,6.9,3.2,5.7,2.3,2
191,2023-11-04 11:44:50.884791,5.8,2.7,3.9,1.2,1
190,2023-11-04 11:44:49.880647,5.8,2.8,5.1,2.4,2
189,2023-11-04 11:44:48.876608,6.0,2.9,4.5,1.5,1
188,2023-11-04 11:44:47.872498,5.7,2.9,4.2,1.3,1
187,2023-11-04 11:44:46.868409,5.0,3.5,1.3,0.3,0
186,2023-11-04 11:44:45.864065,6.1,3.0,4.6,1.4,1
185,2023-11-04 11:44:44.859889,6.7,2.5,5.8,1.8,2
184,2023-11-04 11:44:43.855951,6.0,2.9,4.5,1.5,1
183,2023-11-04 11:44:42.851778,5.8,2.7,5.1,1.9,2
182,2023-11-04 11:44:41.847855,6.3,2.7,4.9,1.8,2
181,2023-11-04 11:44:40.843974,5.4,3.9,1.7,0.4,0
180,2023-11-04 11:44:39.840098,5.1,3.4,1.5,0.2,0
179,2023-11-04 11:44:38.835995,7.7,2.8,6.7,2.0,2
178,2023-11-04 11:44:37.832019,6.9,3.2,5.7,2.3,2
177,2023-11-04 11:44:36.828084,5.5,4.2,1.4,0.2,0
176,2023-11-04 11:44:35.824034,5.3,3.7,1.5,0.2,0
175,2023-11-04 11:44:34.820018,6.7,3.1,5.6,2.4,2
174,2023-11-04 11:44:33.816185,6.9,3.2,5.7,2.3,2
173,2023-11-04 11:44:32.812026,5.0,3.6,1.4,0.2,0
172,2023-11-04 11:44:31.807905,4.4,3.2,1.3,0.2,0
171,2023-11-04 11:44:30.804065,7.1,3.0,5.9,2.1,2
170,2023-11-04 11:44:29.800424,5.6,2.5,3.9,1.1,1
169,2023-11-04 11:44:28.796809,6.8,3.2,5.9,2.3,2
168,2023-11-04 11:44:27.792686,5.4,3.0,4.5,1.5,1
167,2023-11-04 11:44:26.788591,5.0,3.0,1.6,0.2,0
166,2023-11-04 11:44:25.784524,4.4,3.2,1.3,0.2,0
165,2023-11-04 11:44:24.780365,6.1,3.0,4.9,1.8,2
164,2023-11-04 11:44:23.776045,5.1,3.4,1.5,0.2,0
163,2023-11-04 11:44:22.771819,4.8,3.4,1.6,0.2,0
162,2023-11-04 11:44:21.767824,6.1,2.8,4.0,1.3,1
161,2023-11-04 11:44:20.763235,6.1,2.9,4.7,1.4,1
160,2023-11-04 11:44:19.759405,4.8,3.4,1.6,0.2,0
159,2023-11-04 11:44:18.755375,5.1,3.8,1.5,0.3,0
158,2023-11-04 11:44:17.751391,5.0,3.4,1.5,0.2,0
157,2023-11-04 11:44:16.747354,5.8,2.8,5.1,2.4,2
156,2023-11-04 11:44:15.743817,5.1,3.7,1.5,0.4,0
155,2023-11-04 11:44:14.739648,5.6,2.8,4.9,2.0,2
154,2023-11-04 11:44:13.735516,5.4,3.9,1.3,0.4,0
